,model,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_roc_auc_ovo,time_to_train_sec
0,Random Forest,0.994232594210145,0.9929568094312226,0.9874107742504192,0.9901437870346055,0.9981515677214208,800
1,Bagging Classifier,0.9938203451055625,0.9924947539490638,0.9865082026511025,0.9894554001869962,0.9957730515744224,194
2,Gradient Boost,0.993226461494505,0.9914154568059154,0.9855602234404456,0.9884442102138872,0.9987273616549827,1570
3,Extra Trees,0.9927999265298626,0.9919248827890577,0.9863720320459078,0.9891006023681543,0.998295800525607,215
4,Decision Tree,0.9904407187828447,0.9833659492644514,0.984097221660037,0.9837302120797748,0.9880729162450278,46
5,K-Nearest Neighbors,0.9901570424188002,0.9886125294856001,0.9844377096149222,0.9864888663248607,0.9937722837096885,89
6,Logistic Regression,0.9874202797987734,0.9854300380259895,0.9779047476456922,0.9815637476635093,0.9956330630142343,64
7,Naive-Bayes,0.9837875896692824,0.9779896366351398,0.971538296556699,0.9746849505104855,0.9931378732668674,15
8,Stochastic Gradient Descent,0.9720507352115838,0.9719461714200197,0.9601747338645495,0.9658795203614275,,19
9,ADA Boost,0.8856478127327829,0.797393692953179,0.6632835636778027,0.6378443777890728,0.9046599442064809,303
